# Data constructed from AERmon/phalf dataset as part of CDDS #1838
# model_level_number, a_value, a_lower_bound, a_upper_bound, b_value,
# b_lower_bounds, b_upper_bounds
68, 33164.152344, 32517.710938, 33810.593750, 0.000000, 0.000000, 0.000000
69, 34500.062500, 33810.593750, 35189.523438, 0.000000, 0.000000, 0.000000
70, 35927.886719, 35189.523438, 36666.238281, 0.000000, 0.000000, 0.000000
71, 37460.136719, 36666.238281, 38254.027344, 0.000000, 0.000000, 0.000000
72, 39110.980469, 38254.027344, 39967.925781, 0.000000, 0.000000, 0.000000
73, 40896.390625, 39967.925781, 41824.851562, 0.000000, 0.000000, 0.000000
74, 42834.339844, 41824.851562, 43843.832031, 0.000000, 0.000000, 0.000000
75, 44945.015625, 43843.832031, 46046.207031, 0.000000, 0.000000, 0.000000
76, 47251.023438, 46046.207031, 48455.832031, 0.000000, 0.000000, 0.000000
77, 49777.589844, 48455.832031, 51099.347656, 0.000000, 0.000000, 0.000000
78, 52552.890625, 51099.347656, 54006.425781, 0.000000, 0.000000, 0.000000
79, 55608.222656, 54006.425781, 57210.015625, 0.000000, 0.000000, 0.000000
80, 58978.355469, 57210.015625, 60746.703125, 0.000000, 0.000000, 0.000000
81, 62701.832031, 60746.703125, 64656.957031, 0.000000, 0.000000, 0.000000
82, 66821.242188, 64656.957031, 68985.523438, 0.000000, 0.000000, 0.000000
83, 71383.640625, 68985.523438, 73781.765625, 0.000000, 0.000000, 0.000000
84, 76440.890625, 73781.765625, 79100.015625, 0.000000, 0.000000, 0.000000
85, 82050.007812, 79100.015625, 85000.000000, 0.000000, 0.000000, 0.000000
86, 87949.992188, 85000.000000, 87949.992188, 0.000000, 0.000000, 0.000000
